gene_name,interaction_type,drug_name,approved
CETP,NULL,TAMOXIFEN,TRUE
ESR1,NULL,TOREMIFENE,TRUE
CHAT,NULL,PILOCARPINE HYDROCHLORIDE,TRUE
CYP2B6,NULL,BUTYLATED HYDROXYTOLUENE,TRUE
CYP3A4,NULL,AMPHOTERICIN B LIPOSOMAL,TRUE
CYP3A4,NULL,EPIGALLOCATECHIN GALLATE,TRUE
EDN1,NULL,BUDESONIDE,TRUE
FLT3,NULL,TRETINOIN,TRUE
EDNRB,NULL,PACLITAXEL,TRUE
EDN1,NULL,NORETHINDRONE ACETATE,TRUE
E2F1,NULL,NICOTINE POLACRILEX,TRUE
ERBB2,NULL,LAPATINIB,TRUE
ERBB2,NULL,TAMOXIFEN,TRUE
ERBB2,NULL,VORINOSTAT,TRUE
FAS,NULL,CHOLECALCIFEROL,TRUE
FCGR3B,NULL,FAS LIGAND,FALSE
CYP2D6,NULL,METHAPYRILENE,FALSE
FOXO1,NULL,FAS LIGAND,FALSE
FOLH1,NULL,CAPROMAB,TRUE
FOLR1,NULL,ANTIESTROGEN,FALSE
FOLH1,NULL,SURAMIN,FALSE
GABBR1,NULL,ANTIDEPRESSANT AGENT,FALSE
G6PD,NULL,PROPRANOLOL HYDROCHLORIDE,TRUE
G6PD,NULL,PROGESTIN,TRUE
GFAP,NULL,PRASTERONE,TRUE
GFAP,NULL,PROPRANOLOL HYDROCHLORIDE,TRUE
GFAP,NULL,PROCARBAZINE HYDROCHLORIDE,TRUE
GSTP1,NULL,MIFEPRISTONE,TRUE
CYP3A4,NULL,IODOPHENPROPIT,FALSE
H2AC25,NULL,GONADORELIN ACETATE,FALSE
HMGB1,NULL,ITRACONAZOLE,TRUE
ADRB1,NULL,ALPRENOLOL,FALSE
HP,NULL,ESTRADIOL VALERATE,TRUE
HSPA4,NULL,PIOGLITAZONE HYDROCHLORIDE,TRUE
HSPA4,NULL,NIMESULIDE,FALSE
HSPA4,NULL,MASOPROCOL,TRUE
HSPA4,NULL,ASCORBIC ACID,TRUE
ICAM3,NULL,RECOMBINANT INTERFERON,FALSE
ICAM3,NULL,RECOMBINANT GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR,FALSE
IFNG,NULL,METHYLPREDNISOLONE,TRUE
IGFBP1,NULL,DEHYDRATED ALCOHOL,TRUE
ESR1,NULL,PALMITATE,TRUE
IGF2,NULL,GEFITINIB,TRUE
IGFBP1,NULL,SIROLIMUS,TRUE
IFNG,NULL,THEOPHYLLINE,TRUE
IGFBP1,NULL,BUSERELIN,TRUE
IL15,NULL,IMMUNOADJUVANT,FALSE
IL15,NULL,LEVODOPA,TRUE
GABRB2,positive modulator,FLURAZEPAM HYDROCHLORIDE,TRUE
IL17A,NULL,SIROLIMUS,TRUE
IL1B,NULL,BECLOMETHASONE DIPROPIONATE,TRUE
IL1B,NULL,ANTIDEPRESSANT AGENT,FALSE
IL5,NULL,ADENOVIRUS VECTOR,FALSE
CSF1R,NULL,GW-2580,FALSE
IL6R,NULL,FLUOROURACIL,TRUE
CXCL8,NULL,ALUMINUM HYDROXIDE,TRUE
CXCL8,NULL,ALPRAZOLAM,TRUE
NT5E,NULL,IMMUNOTHERAPEUTIC AGENT,FALSE
IL7,NULL,SIROLIMUS,TRUE
CXCL8,NULL,BIOFLAVONOID,FALSE
IL7,NULL,DRUGSATFDA.NDA:008378,FALSE
CXCL8,NULL,PACLITAXEL,TRUE
LIF,NULL,CLOMIPHENE CITRATE,TRUE
PDGFRA,NULL,BECAPLERMIN,TRUE
LTF,NULL,BACITRACIN,TRUE
LPO,NULL,DIETHYLSTILBESTROL,TRUE
MAPK10,NULL,IRINOTECAN HYDROCHLORIDE,TRUE
PLK1,NULL,LIPID ENCAPSULATED ANTI-PLK1 SIRNA TKM-PLK1,FALSE
MBP,NULL,BIOFLAVONOID,FALSE
ADAMTSL4-AS1,NULL,SIROLIMUS,TRUE
MGMT,NULL,G207,FALSE
MMP1,NULL,LEUPROLIDE ACETATE,TRUE
TOP2A,NULL,PODOFILOX,TRUE
MPO,NULL,TENECTEPLASE,TRUE
MTHFR,NULL,DEHYDRATED ALCOHOL,TRUE
MYC,NULL,THIOGUANINE,TRUE
TOP2B,inhibitor,C-1311,FALSE
MYCN,NULL,VINCRISTINE,TRUE
MYC,NULL,PROTEASOME INHIBITOR,FALSE
NEUROD1,NULL,PD-98059,FALSE
NFE2L2,NULL,NEUROPROTECTIVE AGENT,FALSE
NOS1,NULL,ANTIBIOTIC,FALSE
NOS1,NULL,THEOPHYLLINE,TRUE
NOS1,NULL,PROPOFOL,TRUE
NOS1,NULL,STAUROSPORINE,FALSE
NOS1,NULL,PRAVASTATIN SODIUM,TRUE
NOS1,NULL,ANAKINRA,TRUE
GABRA1,agonist,PADSEVONIL,FALSE
NOS2,NULL,THERAPEUTIC STEROID HORMONE,FALSE
NR4A1,NULL,PD-98059,FALSE
NR4A1,NULL,NICOTINE POLACRILEX,TRUE
TUBA4A,NULL,PODOFILOX,TRUE
NR5A1,NULL,LIOTHYRONINE,TRUE
NT5E,NULL,INOSITOL,TRUE
NTF3,NULL,PHENYTOIN SODIUM,TRUE
NTF3,NULL,LIOTHYRONINE,TRUE
NTF3,NULL,VINCRISTINE,TRUE
NTF3,NULL,NICOTINE POLACRILEX,TRUE
OSM,NULL,IL-10,FALSE
NTRK1,NULL,THYROXINE,FALSE
PIK3CA,NULL,RECOMBINANT HEPATOCYTE GROWTH FACTOR,FALSE
PIK3CA,NULL,ANGIOGENESIS INHIBITOR,FALSE
AR,NULL,MELOXICAM,TRUE
PIK3CB,NULL,RETINOIC ACID AGENT,FALSE
PIK3CB,NULL,INDOLE-3-CARBINOL,FALSE
PIK3CG,NULL,IH636 GRAPE SEED PROANTHOCYANIDIN EXTRACT,FALSE
PIK3CG,NULL,ESTRONE,TRUE
PIK3CG,NULL,RECOMBINANT CD40-LIGAND,FALSE
USP1,NULL,"5,7-DIHYDROXYISOFLAVONE",FALSE
PRKAR2B,NULL,THEOPHYLLINE,TRUE
PRL,NULL,BACITRACIN,TRUE
PRL,NULL,PILOCARPINE HYDROCHLORIDE,TRUE
PRL,NULL,EFLORNITHINE,TRUE
PRL,NULL,CLOZAPINE,TRUE
RAD52,NULL,METHYLTHIONINIUM CHLORIDE,FALSE
PSMD4,NULL,PROTEASOME INHIBITOR,FALSE
RECQL,NULL,BITHIONOL,TRUE
PSMD7,NULL,PROTEASOME INHIBITOR,FALSE
PTGER1,NULL,IL-10,FALSE
SLC6A4,NULL,DESIPRAMINE,TRUE
PTHLH,NULL,VINBLASTINE,TRUE
PTHLH,NULL,DIFFERENTIATION INDUCER,FALSE
PTPRC,NULL,MILODISTIM,FALSE
RARA,NULL,ANTIESTROGEN,FALSE
NATP,inhibitor,AMITRIPTYLINE HYDROCHLORIDE,TRUE
RAB5A,NULL,RECOMBINANT HEPATOCYTE GROWTH FACTOR,FALSE
MAPK3,NULL,SIGNAL TRANSDUCTION INHIBITOR,FALSE
RPE65,NULL,RETINOIC ACID AGENT,FALSE
SERPINE1,NULL,NORETHINDRONE ACETATE,TRUE
SERPINE1,NULL,ARSENIC TRIOXIDE,TRUE
SERPINE1,NULL,CETRORELIX,TRUE
SLC2A1,NULL,PIOGLITAZONE HYDROCHLORIDE,TRUE
SLC2A1,NULL,PHENYTOIN SODIUM,TRUE
SLC1A1,NULL,CLOZAPINE,TRUE
TFAP2A,NULL,RECOMBINANT TUMOR NECROSIS FACTOR FAMILY PROTEIN,FALSE
TGFBR3,NULL,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2,FALSE
TGFB1,NULL,PROTEASOME INHIBITOR,FALSE
TGFB1,NULL,PIOGLITAZONE HYDROCHLORIDE,TRUE
THBS1,NULL,ACTH,FALSE
TGM2,NULL,IONOMYCIN,FALSE
THBS1,NULL,VESNARINONE,FALSE
TOP2A,NULL,BROXURIDINE,FALSE
TP53,NULL,INOSITOL,TRUE
TP53,NULL,PUROMYCIN,FALSE
TP53,NULL,PACLITAXEL,TRUE
TP53,NULL,MPA,FALSE
TP53,NULL,SELECTIVE ESTROGEN RECEPTOR MODULATOR,FALSE
TRPV1,NULL,PROPOFOL,TRUE
TPK1,NULL,ANTIMETABOLITE,FALSE
TRH,NULL,ERYTHROMYCIN,TRUE
TYMS,NULL,9-AMINOCAMPTOTHECIN,FALSE
TYMS,NULL,VINCRISTINE,TRUE
TYMS,NULL,GAMMA-INTERFERON,FALSE
UGCG,NULL,ADRIAMYCIN,FALSE
UGT1A7,NULL,NICOTINE POLACRILEX,TRUE
TYMS,NULL,DRUGSATFDA.NDA:008378,FALSE
UGT1A4,NULL,TAMOXIFEN,TRUE
UCP2,NULL,SOYBEAN SEED OIL,TRUE
VDR,NULL,TAMOXIFEN,TRUE
VDR,NULL,PD-98059,FALSE
VDR,NULL,TAMOXIFEN,TRUE
VIP,NULL,RIBAVIRIN,TRUE
VWF,NULL,WARFARIN,TRUE
VWF,NULL,PENTOXIFYLLINE,TRUE
CHRNA3,NULL,EFGARTIGIMOD ALFA,TRUE
STXBP2,NULL,EMAPALUMAB-LZSG,TRUE
VKORC1,NULL,FLUINDIONE,FALSE
HTR7,NULL,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",TRUE
GDNF,NULL,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",TRUE
HTR1B,NULL,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",TRUE
ERBB2,NULL,NIVOLUMAB,TRUE
SRP19,NULL,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",TRUE
ABCC2,NULL,LAMIVUDINE,TRUE
CYB5R1,NULL,ISOSORBIDE DINITRATE,TRUE
ABCC3,NULL,LAMIVUDINE,TRUE
ADRA1B,NULL,DOPAMINE,TRUE
ADRA1A,NULL,DOPAMINE,TRUE
NR1I2,NULL,FLOXACILLIN,TRUE
NR1I2,NULL,SPIRONOLACTONE,TRUE
CHRNB4,NULL,COTININE,FALSE
XIAP,NULL,EMAPALUMAB-LZSG,TRUE
G6PD,NULL,SULFADIAZINE,TRUE
CYP2C19,NULL,NORETHINDRONE,TRUE
CYP3A4,NULL,PROPAFENONE,TRUE
MDGA2,NULL,FLUVOXAMINE,TRUE
ARVCF,NULL,PAREGORIC,TRUE
ABCG2,NULL,DIFLOMOTECAN,FALSE
GSTM1,NULL,VINBLASTINE,TRUE
CYP3A4,NULL,VINBLASTINE,TRUE
HCN1,NULL,TRAMADOL,TRUE
ABCG2,NULL,TENOFOVIR,TRUE
MECP2,NULL,TROFINETIDE,TRUE
SLC26A8,NULL,TENOFOVIR,TRUE
DRD4,inhibitor,THIORIDAZINE,TRUE
NT5C1A,NULL,FLUOROURACIL,TRUE
MYO1H,NULL,LITHIUM,TRUE
HLA-DRA,NULL,CLAVULANIC ACID,TRUE
CEL,NULL,SIMVASTATIN,TRUE
SCN2A,NULL,PHENYTOIN SODIUM,TRUE
ADGRL3,NULL,NORTRIPTYLINE,TRUE
GATA4,NULL,ACENOCOUMAROL,TRUE
FXR2,NULL,METHYLPHENIDATE HYDROCHLORIDE,TRUE
FARP2,NULL,METHYLPHENIDATE HYDROCHLORIDE,TRUE
ETFDH,NULL,METHYLPHENIDATE HYDROCHLORIDE,TRUE
OPCML,NULL,METHYLPHENIDATE HYDROCHLORIDE,TRUE
PNPLA3,NULL,CYTARABINE,TRUE
ZNF134,NULL,METHYLPHENIDATE HYDROCHLORIDE,TRUE
PIGM,NULL,METHYLPHENIDATE HYDROCHLORIDE,TRUE
SLC6A3,NULL,FENCAMFAMIN,TRUE
GCG,NULL,CLOZAPINE,TRUE
IL13,NULL,USTEKINUMAB,TRUE
ADRB1,NULL,TIMOLOL,TRUE
UGT2B7,NULL,DICLOFENAC SODIUM,TRUE
PLA2G4A,NULL,DICLOFENAC SODIUM,TRUE
DRD3,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
MTHFR,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
MYLIP,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
ABCA1,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
UGT1A4,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
IFNL4,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
CYSLTR1,NULL,ZAFIRLUKAST,TRUE
BDKRB2,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
STAT4,NULL,USTEKINUMAB,TRUE
DTNBP1,NULL,CLOZAPINE,TRUE
UGT1A3,NULL,"IBUPROFEN, SODIUM SALT",TRUE
GSTM1,NULL,ETOPOSIDE,TRUE
RYR1,NULL,ENFLURANE,TRUE
CYP3A5,NULL,PROGESTERONE,TRUE
CYP2C19,NULL,MOCLOBEMIDE,TRUE
AQP4,NULL,INEBILIZUMAB-CDON,TRUE
CXCL8,NULL,SUNITINIB,TRUE
CYP3A4,NULL,SUNITINIB,TRUE
PDGFRB,NULL,SUNITINIB,TRUE
FAAH,NULL,"IBUPROFEN, SODIUM SALT",TRUE
CYP2D6,NULL,CHLORPHENIRAMINE POLISTIREX,TRUE
FLT4,NULL,IMC-3C5,FALSE
PSORS1C2,NULL,ALLOPURINOL,TRUE
AVPR2,agonist,DESMOPRESSIN,TRUE
TRIB2,NULL,ALLOPURINOL,TRUE
CFLAR,NULL,ALLOPURINOL,TRUE
UGT1A7,NULL,ALLOPURINOL,TRUE
CYP3A4,NULL,CHEMBL:CHEMBL1256835,FALSE
NOTCH4,NULL,ALLOPURINOL,TRUE
TSHZ2,NULL,ALLOPURINOL,TRUE
UGT1A6,NULL,ALLOPURINOL,TRUE
MPHOSPH8,NULL,SB 224289,FALSE
GABRA1,NULL,PROPOFOL,TRUE
SMN1,NULL,IPRIFLAVONE,FALSE
TLR9,NULL,INFLIXIMAB-DYYB,TRUE
ZNF816,NULL,USTEKINUMAB,TRUE
FLT1,inhibitor,VANDETANIB,TRUE
VDR,NULL,RIBAVIRIN,TRUE
CYP3A4,NULL,CHLORZOXAZONE,TRUE
CYP3A4,NULL,NILOTINIB,TRUE
CYP3A4,NULL,GABAPENTIN,TRUE
CYP3A4,NULL,HYDROCODONE,TRUE
TYMSOS,NULL,MERCAPTOPURINE,TRUE
TACR3,NULL,CHEMBL:CHEMBL2203705,FALSE
NAT1,NULL,MESALAMINE,TRUE
CYP3A4,NULL,ZOLPIDEM TARTRATE,TRUE
TYMSOS,NULL,FLUOROURACIL,TRUE
HRAS,NULL,TRAMETINIB DIMETHYL SULFOXIDE,TRUE
CCL25,NULL,TNF-ALPHA,FALSE
CACNA2D4,NULL,CELECOXIB,TRUE
PTH,NULL,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2,FALSE
CDKN1A,NULL,CELECOXIB,TRUE
CACNB2,NULL,CELECOXIB,TRUE
HLA-B,NULL,CLOZAPINE,TRUE
CYP2C19,NULL,BELZUTIFAN,TRUE
CYP2B6,NULL,MEPHENYTOIN,TRUE
AGTR1,NULL,BENAZEPRIL,TRUE
FGFR2,NULL,FUTIBATINIB,TRUE
MTTP,NULL,SLX-4090,FALSE
HLA-DRB1,NULL,PRAVASTATIN SODIUM,TRUE
CPOX,NULL,GIVOSIRAN,TRUE
RARA,NULL,TRETINOIN,TRUE
ALPL,NULL,INFLIXIMAB-DYYB,TRUE
CYP1A2,NULL,DACARBAZINE,TRUE
BDNF,NULL,AMITRIPTYLINE HYDROCHLORIDE,TRUE
ADGRL3,NULL,AMITRIPTYLINE HYDROCHLORIDE,TRUE
CES1,NULL,AMITRIPTYLINE HYDROCHLORIDE,TRUE
EPHX1,NULL,AMITRIPTYLINE HYDROCHLORIDE,TRUE
OAS1,NULL,RIBAVIRIN,TRUE
ARID5B,NULL,IMATINIB,TRUE
GNMT,NULL,MERCAPTOPURINE,TRUE
IMPDH1,NULL,MERCAPTOPURINE,TRUE
SLCO1B1,NULL,DILTIAZEM HYDROCHLORIDE,TRUE
ADORA1,NULL,CAFFEINE,TRUE
IL12B,NULL,USTEKINUMAB,TRUE
TRAT1,NULL,CLOZAPINE,TRUE
RABEP1,NULL,CLOZAPINE,TRUE
EPM2A,NULL,CLOZAPINE,TRUE
FKBP5,NULL,CLOZAPINE,TRUE
SLC6A4,NULL,CLOZAPINE,TRUE
HLA-DQB1,NULL,LAMOTRIGINE,TRUE
CYP2A6,NULL,CAFFEINE,TRUE
CACNA1S,NULL,CAFFEINE,TRUE
DCK,NULL,IDARUBICIN,TRUE
MEGF11,NULL,FLUOROURACIL,TRUE
CBR1,NULL,FLUOROURACIL,TRUE
CYP4X1,NULL,FLUOROURACIL,TRUE
CYP2C8,NULL,FLUOROURACIL,TRUE
EXO1,NULL,FLUOROURACIL,TRUE
ADRA2C,NULL,NOREPINEPHRINE,TRUE
TCL1A,NULL,EXEMESTANE,TRUE
SLC6A4,NULL,RIBAVIRIN,TRUE
CYP1A2,NULL,THIORIDAZINE,TRUE
G6PD,NULL,ACETAMINOPHEN / CODEINE,FALSE
TXNRD1,NULL,ASCORBIC ACID,TRUE
CHRNB1,NULL,VARENICLINE,TRUE
FTO,NULL,PEGINTERFERON ALFA-2A,TRUE
IFNL3,NULL,PEGINTERFERON ALFA-2A,TRUE
IL1B,NULL,PAREGORIC,TRUE
SCN1A,blocker,OXCARBAZEPINE,TRUE
IL17F,NULL,USTEKINUMAB,TRUE
GABRB2,NULL,ADIPIPLON,FALSE
EHMT2,NULL,FLUPIRTINE,FALSE
KCNA5,NULL,TERFENADINE,TRUE
LMNA,NULL,LONAFARNIB,TRUE
CYP2A6,NULL,PHENYTOIN SODIUM,TRUE
MAGEA3,vaccine,MULTI-NEO-EPITOPE VACCINE OSE 2101,FALSE
UGT1A6,NULL,PAREGORIC,TRUE
ABL1,NULL,BLINATUMOMAB,TRUE
NTRK3,NULL,ENTRECTINIB,TRUE
CD19,NULL,BLINATUMOMAB,TRUE
KDR,inhibitor,SU-014813,FALSE
AURKA,inhibitor,ALISERTIB,FALSE
FASLG,inhibitor,BIM 23454,FALSE
HDAC10,inhibitor,PANOBINOSTAT,TRUE
AURKA,inhibitor,PF-03814735,FALSE
PTEN,NULL,LEUCOVORIN CALCIUM,TRUE
TNF,NULL,ADALIMUMAB-ADBM,TRUE
NPY,NULL,ANTIHYPERTENSIVE AGENT,FALSE
DRD1,inhibitor,K-00546,FALSE
HDAC5,inhibitor,BELINOSTAT,TRUE
EPHB3,inhibitor,GANDOTINIB,FALSE
CTSV,inhibitor,SUNITINIB,TRUE
HPGD,NULL,BAY-11-7085,FALSE
HDAC7,inhibitor,BELINOSTAT,TRUE
HDAC9,inhibitor,CUDC-101,FALSE
BACE1,NULL,TARENFLURBIL,FALSE
KDR,inhibitor,CEDIRANIB,FALSE
IGF1R,inhibitor,DALOTUZUMAB,FALSE
ABL1,inhibitor,BOSUTINIB,TRUE
USP1,NULL,HEXYLRESORCINOL,TRUE
HRH1,NULL,NOBERASTINE,FALSE
MAP2K1,inhibitor,PIMASERTIB,FALSE
GABRG2,positive modulator,FLURAZEPAM HYDROCHLORIDE,TRUE
MET,inhibitor,C-MET INHIBITOR AMG 208,FALSE
MET,inhibitor,CRIZOTINIB,TRUE
MST1R,inhibitor,GLESATINIB,FALSE
CRKL,inhibitor,JZL184,FALSE
PDCD1,antibody,NIVOLUMAB,TRUE
PDGFRB,inhibitor,CEDIRANIB,FALSE
PIK3CA,inhibitor,BUPARLISIB,FALSE
ABL1,inhibitor,XL228,FALSE
SRC,inhibitor,XL228,FALSE
ARAF,inhibitor,COMPOUND 37 [PMID: 16250654],FALSE
SIRT2,inhibitor,PANOBINOSTAT,TRUE
CENPE,inhibitor,GSK-923295,FALSE
APRT,agonist,R3(B&DELTA;23-27)R/I5 CHIMERIC PEPTIDE,FALSE
BRAF,inhibitor,DABRAFENIB,TRUE
WEE1,inhibitor,ADAVOSERTIB,FALSE
HDAC8,NULL,4SC-202,FALSE
ERBB2,NULL,PAN-HER KINASE INHIBITOR AC480,FALSE
PDE4A,NULL,THEOPHYLLINE,TRUE
MC1R,NULL,AFAMELANOTIDE,TRUE
ADRA1B,NULL,SENREBOTASE,FALSE
ADRA2C,NULL,SENREBOTASE,FALSE
GRIA4,NULL,SELURAMPANEL,FALSE
APRT,inhibitor,R3(B&DELTA;23-27)R/I5 CHIMERIC PEPTIDE,FALSE
PSEN2,NULL,CHEMBL:CHEMBL247471,FALSE
ADH1A,NULL,FOMEPIZOLE,TRUE
PSEN1,NULL,CHEMBL:CHEMBL247471,FALSE
PTH1R,NULL,PARATHYROID HORMONE,TRUE
CDC7,NULL,BMS-863233,FALSE
PIK3CD,NULL,IDELALISIB,TRUE
HDAC3,NULL,CHIDAMIDE,FALSE
PIK3CD,inhibitor,INFIGRATINIB,TRUE
HCAR3,NULL,NIACIN,TRUE
DHFR,NULL,CH-1504,FALSE
IL12B,NULL,USTEKINUMAB,TRUE
ESR2,NULL,ESTROGEN,TRUE
SCN10A,NULL,BUPIVACAINE,TRUE
ABL2,NULL,DASATINIB ANHYDROUS,TRUE
EDNRA,NULL,DARUSENTAN,FALSE
HDAC6,inhibitor,DACINOSTAT,FALSE
CD40,NULL,DACETUZUMAB,FALSE
F2,NULL,DABIGATRAN,TRUE
IGF1R,NULL,DALOTUZUMAB,FALSE
AGT,NULL,CYT006-ANGQB,FALSE
SLC6A4,NULL,DAPOXETINE,TRUE
CYP3A4,NULL,FENOFIBRATE MICRONIZED,TRUE
SRC,NULL,DASATINIB ANHYDROUS,TRUE
IL12B,NULL,ADENOVIRAL TRANSDUCED HIL-12-EXPRESSING AUTOLOGOUS DENDRITIC CELLS INXN-3001 PLUS ACTIVATOR LIGAND INXN-1001,FALSE
GABRB3,NULL,DIAZEPAM,TRUE
CACNG1,NULL,DILTIAZEM HYDROCHLORIDE,TRUE
GABRE,NULL,DIAZEPAM,TRUE
GABRB2,NULL,DIAZEPAM,TRUE
GABRA5,NULL,DIAZEPAM,TRUE
GABRA3,NULL,DIAZEPAM,TRUE
PDE5A,NULL,SILDENAFIL,TRUE
NPY5R,NULL,PEPTIDE YY,FALSE
CACNA2D1,NULL,FELODIPINE,TRUE
CACNA1S,NULL,FELODIPINE,TRUE
THRB,NULL,PRIMAQUINE,TRUE
NQO1,NULL,VATIQUINONE,FALSE
THRB,NULL,EPROTIROME,FALSE
GABRB1,NULL,DIMDAZENIL,FALSE
GABRA5,NULL,GANAXOLONE,TRUE
GABRA4,NULL,GANAXOLONE,TRUE
HTR1A,NULL,GEPIRONE,TRUE
HTR3D,NULL,GRANISETRON,TRUE
SELL,NULL,RIVIPANSEL,FALSE
HTR3B,NULL,GRANISETRON,TRUE
PPARA,NULL,GW501516,FALSE
PTGS2,NULL,FLURBIPROFEN,TRUE
CHRNA7,NULL,GTS-21,FALSE
PTGS2,NULL,"IBUPROFEN, SODIUM SALT",TRUE
CHRM4,NULL,ATROPINE,TRUE
HSP90AB1,NULL,RETASPIMYCIN,FALSE
HSP90AA2P,NULL,RETASPIMYCIN HYDROCHLORIDE,FALSE
GABRA3,NULL,CLONAZEPAM,TRUE
GABRA6,NULL,CLONAZEPAM,TRUE
GABRD,NULL,CLONAZEPAM,TRUE
GABRQ,NULL,CLONAZEPAM,TRUE
SLC18A2,NULL,LOBELINE,FALSE
PTGS2,NULL,LICOFELONE,FALSE
HTR7,NULL,VORTIOXETINE HYDROBROMIDE,TRUE
HTR1A,NULL,VORTIOXETINE HYDROBROMIDE,TRUE
DRD5,NULL,OLANZAPINE,TRUE
HTR2C,NULL,OLANZAPINE,TRUE
HRH1,NULL,OLANZAPINE,TRUE
HTR7,NULL,OLANZAPINE,TRUE
ADRA2C,NULL,OLANZAPINE,TRUE
CHRM3,NULL,OLANZAPINE,TRUE
CHRM4,NULL,OLANZAPINE,TRUE
ADRA1B,NULL,OLANZAPINE,TRUE
CD80,NULL,ABATACEPT,TRUE
MUC16,NULL,OREGOVOMAB,FALSE
SLC6A4,NULL,OPC-14523,FALSE
FRK,NULL,IMATINIB,TRUE
AGTR2,NULL,SPARSENTAN,TRUE
CRAT,NULL,LEVOCARNITINE PROPIONATE,FALSE
CPT1A,NULL,LEVOCARNITINE PROPIONATE,FALSE
SLC6A4,NULL,TRAMADOL,TRUE
GSTP1,NULL,DEXAMETHASONE,TRUE
HTR3C,NULL,PUMOSETRAG,FALSE
HTR3A,NULL,PUMOSETRAG,FALSE
KDR,NULL,REGORAFENIB,TRUE
PDE4B,NULL,RESVERATROL,TRUE
TRPV1,NULL,RESINIFERATOXIN,FALSE
CTSK,NULL,RELACATIB,FALSE
KCNQ1,NULL,EZOGABINE,TRUE
MTOR,NULL,RIDAFOROLIMUS,FALSE
FGFR1,NULL,PALIFERMIN,TRUE
CHRM1,agonist,PILOCARPINE HYDROCHLORIDE,TRUE
F3,NULL,RECOMBINANT NEMATODE ANTICOAGULANT PROTEIN C2,FALSE
TOP2A,NULL,RTA 744,FALSE
CA6,NULL,ANTI-CA6-DM4 IMMUNOCONJUGATE SAR566658,FALSE
CNR1,NULL,DRONABINOL,TRUE
PIK3CA,NULL,SF1126,FALSE
CHRM5,NULL,DOXEPIN HYDROCHLORIDE,TRUE
HTR2B,NULL,QUETIAPINE FUMARATE,TRUE
CHRM1,NULL,DOXEPIN HYDROCHLORIDE,TRUE
CHRM3,NULL,DOXEPIN HYDROCHLORIDE,TRUE
ABCA1,agonist,PENECA,FALSE
F5,inhibitor,PICTILISIB,FALSE
HSD17B10,NULL,CILOSTAMIDE,FALSE
CDK9,NULL,SNS-032,FALSE
CYP2B6,NULL,EFAVIRENZ,TRUE
AKT3,NULL,TRICIRIBINE,FALSE
AKT1,NULL,TRICIRIBINE,FALSE
RARG,NULL,TRETINOIN,TRUE
PDE4B,NULL,SELECTIVE CYTOKINE INHIBITORY DRUG CC-1088,FALSE
MAPK13,NULL,VX-702,FALSE
SLCO1A2,NULL,NADOLOL,TRUE
CYP2C19,NULL,SULFAPHENAZOLE,TRUE
CYP3A4,NULL,PIVAMPICILLIN,TRUE
PARP1,inhibitor,OLAPARIB,TRUE
PTGS2,NULL,KETOPROFEN,TRUE
REN,NULL,VTP-27999,FALSE
CCR4,NULL,MOGAMULIZUMAB,TRUE
NR3C1,NULL,POTASSIUM DICHROMATE,FALSE
SLC6A3,NULL,LISDEXAMFETAMINE DIMESYLATE,TRUE
BAZ2B,NULL,REMACEMIDE HYDROCHLORIDE,FALSE
TLR8,NULL,MOTOLIMOD,FALSE
ADRB1,NULL,DIPIVEFRIN,TRUE
ARRB1,modulator,FLUNITRAZEPAM,TRUE
AMELX,agonist,(R)-&ALPHA;-METHYLHISTAMINE,FALSE
PIK3CG,NULL,XL765,FALSE
EBM,NULL,RANK LIGAND,FALSE
KDR,NULL,XL999,FALSE
AKT2,NULL,XL418,FALSE
ATP5F1C,activator,KS0365,FALSE
DRD2,NULL,ZIPRASIDONE,TRUE
ANXA2P3,inhibitor,BIBP3226,FALSE
CA12,NULL,ACETAZOLAMIDE,TRUE
SCN10A,NULL,BENZOCAINE,TRUE
SCN5A,NULL,BENZONATATE,TRUE
CHRM1,NULL,OCTOTROPINE METHYLBROMIDE,TRUE
GABRA4,NULL,BUTABARBITAL,TRUE
GABRA6,NULL,BUTABARBITAL,TRUE
GABRB2,NULL,CHLORDIAZEPOXIDE,TRUE
GABRG2,NULL,CHLORDIAZEPOXIDE,TRUE
SCN10A,NULL,DYCLONINE,TRUE
ESR1,NULL,ESTRIOL,TRUE
ADRB2,NULL,FENOTEROL,TRUE
CCKBR,NULL,PENTAGASTRIN,TRUE
TP53,NULL,NAVTEMADLIN,FALSE
POLK,NULL,NORSTICTIC ACID,FALSE
ADRA2A,NULL,PHENYLPROPANOLAMINE,TRUE
