gene_name,interaction_type,drug_name,approved
CFTR,NULL,LUMACAFTOR,TRUE
CD4,negative modulator,PRILIXIMAB,FALSE
USP1,NULL,SOFALCONE,FALSE
CHKA,NULL,DEXAMETHASONE,TRUE
GABRG1,agonist,PADSEVONIL,FALSE
SLC25A6,modulator,AZD6538,FALSE
APLP1,agonist,LV-2172,FALSE
NCSTN,modulator,TARENFLURBIL,FALSE
CYP1A2,NULL,CHELERYTHRINE,FALSE
IL6,NULL,"INSULIN, REGULAR, HUMAN",TRUE
VDR,agonist,2MD,FALSE
MAPT,NULL,"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE",FALSE
PLCG2,NULL,IBRUTINIB,TRUE
ITGB5,NULL,CILENGITIDE,FALSE
ABL2,inhibitor,WB 4101,FALSE
RND3,activator,ALPROSTADIL,TRUE
CXCL12,NULL,CHLORAMBUCIL,TRUE
GATA3,NULL,CYTARABINE,TRUE
GABRE,NULL,ADIPIPLON,FALSE
SOD2,NULL,ANTIBIOTIC,FALSE
ADRB2,NULL,VILANTEROL,TRUE
TUBA1B,NULL,PACLITAXEL,TRUE
POLK,NULL,"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE",FALSE
FYN,NULL,CYC-116,FALSE
HIPK4,NULL,BAY 61-3606,FALSE
ADRA2A,NULL,YOHIMBINE,TRUE
CHRM1,inhibitor,PROPANTHELINE BROMIDE,TRUE
YWHAE,NULL,"INSULIN, REGULAR, HUMAN",TRUE
AZF1,activator,R-L3,FALSE
CXCR4,NULL,CISPLATIN,TRUE
HTR2B,NULL,CHLORPROTHIXENE,TRUE
CD8B2,inhibitor,COMPOUND 58 [PMID: 25037917],FALSE
NATP,inhibitor,THIORIDAZINE,TRUE
AADAC,agonist,(-)-YM796,FALSE
BBS1,inhibitor,GNE-131,FALSE
ABCC6,inhibitor,TOLVAPTAN,TRUE
TAC1,NULL,HUMAN CHORIONIC GONADOTROPIN,TRUE
POLK,NULL,APIGENIN,TRUE
HTR1A,agonist,BEFIRADOL,FALSE
RPL35,inhibitor,MT-3724,FALSE
KCNH2,NULL,LOBELINE HYDROCHLORIDE,FALSE
ALOX15,NULL,NONIVAMIDE,TRUE
A12M3,inhibitor,NEFAZODONE,TRUE
CDK20,inhibitor,AT-7519,FALSE
GABRR2,NULL,HALAZEPAM,TRUE
GABRA2,positive modulator,GLUTETHIMIDE,TRUE
MRPL36,inhibitor,CETHROMYCIN,FALSE
GABRE,NULL,CLOBAZAM,TRUE
GCNT1,inhibitor,PINOMETOSTAT,FALSE
AQP3,inhibitor,ROLAPITANT,TRUE
DRD2,inhibitor,AXITINIB,TRUE
BRAF,NULL,SELUMETINIB,TRUE
EHMT2,NULL,ENCLOMIPHENE CITRATE,FALSE
MAOA,NULL,CHEMBL:CHEMBL1642672,FALSE
OPRK1,inhibitor,NALTREXONE HYDROCHLORIDE,TRUE
NFKB1,NULL,CHEMBL:CHEMBL84010,FALSE
ADRB2,NULL,OT-730,FALSE
BRAF,NULL,NVP-TAE 226,FALSE
LPAR1,inhibitor,BMS-986020,FALSE
KCNH2,NULL,CHEMBL:CHEMBL590914,FALSE
PDGFRB,NULL,IMATINIB,TRUE
GUCA2A,NULL,LACTOSE,TRUE
HTR1D,NULL,ERGOTAMINE,TRUE
ABCC1,NULL,AZITHROMYCIN,TRUE
